Temporal Difference ,Q-Learning,TD increase,Average Reward-TD,,Average Reward increase
-785,-352,45%,-401.03,-393.05,113%
-623,-415,67%,,,
-587,-469,80%,,,
-542,-361,67%,,,
-542,-433,80%,,,
-542,-469,87%,,,
-434,-406,94%,,,
-299,-415,139%,,,
-587,-460,78%,,,
-551,-334,61%,,,
-398,-334,84%,,,
-416,-379,91%,,,
-461,-334,72%,,,
-560,-460,82%,,,
-234,-406,174%,,,
-329,-460,140%,,,
-272,-352,129%,,,
-245,-415,169%,,,
-380,-334,88%,,,
-254,-379,149%,,,
-335,-487,145%,,,
-587,-433,74%,,,
-362,-433,120%,,,
-254,-451,178%,,,
-200,-388,194%,,,
-209,-442,211%,,,
-218,-388,178%,,,
-542,-379,70%,,,
-353,-397,112%,,,
-371,-343,92%,,,
-371,-325,88%,,,
-614,-269,44%,,,
-212,-388,183%,,,
-290,-307,106%,,,
-245,-325,133%,,,
-425,-433,102%,,,
-209,-388,186%,,,
-209,-388,186%,,,
-236,-415,176%,,,
-235,-451,192%,,,
-77,-433,562%,,,
-362,-397,110%,,,
-200,-379,190%,,,
-299,-406,136%,,,
-236,-406,172%,,,
-211,-352,167%,,,
-200,-397,199%,,,
-200,-415,208%,,,
-218,-424,194%,,,
-127,-334,263%,,,
-137,-433,316%,,,
-317,-334,105%,,,
-398,-505,127%,,,
-434,-460,106%,,,
-236,-379,161%,,,
-236,-379,161%,,,
-227,-388,171%,,,
-282,-388,138%,,,
-578,-379,66%,,,
-200,-397,199%,,,
-335,-415,124%,,,
-200,-379,190%,,,
-209,-397,190%,,,
-200,-406,203%,,,
-236,-424,180%,,,
-227,-424,187%,,,
-120,-415,346%,,,
-218,-388,178%,,,
-10,-415,4150%,,,
-209,-388,186%,,,
-13,-424,3262%,,,
-218,-370,170%,,,
-209,-433,207%,,,
-317,-388,122%,,,
-100,-343,343%,,,
-8,-352,4400%,,,
-209,-442,211%,,,
-209,-397,190%,,,
-218,-460,211%,,,
-461,-334,72%,,,
-479,-388,81%,,,
-209,-406,194%,,,
-309,-406,131%,,,
-93,-388,417%,,,
-155,-361,233%,,,
-227,-352,155%,,,
-81,-325,401%,,,
-326,-370,113%,,,
-281,-334,119%,,,
-65,-415,638%,,,
-479,-442,92%,,,
-371,-451,122%,,,
-200,-442,221%,,,
-245,-406,166%,,,
-78,-379,486%,,,
-254,-370,146%,,,
-200,-406,203%,,,
8,-370,-4625%,,,
-106,-370,349%,,,
-209,-433,207%,,,
-187,-397,212%,,,
-245,-370,151%,,,
-245,-406,166%,,,
-149,-370,248%,,,
-218,-352,161%,,,
-452,-451,100%,,,
-542,-442,82%,,,
-227,-379,167%,,,
-506,-361,71%,,,
-209,-307,147%,,,
-200,-460,230%,,,
-200,-451,226%,,,
-119,-388,326%,,,
-209,-397,190%,,,
-209,-361,173%,,,
-37,-325,878%,,,
-308,-424,138%,,,
-167,-370,222%,,,
-200,-442,221%,,,
-227,-334,147%,,,
-283,-379,134%,,,
-27,-451,1670%,,,
-213,-406,191%,,,
-218,-388,178%,,,
-227,-442,195%,,,
-42,-343,817%,,,
-272,-397,146%,,,
-506,-406,80%,,,
-147,-397,270%,,,
4,-415,-10375%,,,
-227,-433,191%,,,
-146,-343,235%,,,
-39,-487,1249%,,,
-107,-370,346%,,,
-245,-85,35%,,,
-218,-406,186%,,,
-461,-388,84%,,,
-209,-370,177%,,,
-407,-361,89%,,,
-209,-361,173%,,,
-77,-334,434%,,,
-155,-433,279%,,,
-30,-307,1023%,,,
-40,-361,903%,,,
-353,-271,77%,,,
-177,-406,229%,,,
-56,-379,677%,,,
-470,-451,96%,,,
-145,-397,274%,,,
-62,-451,727%,,,
-113,-370,327%,,,
-211,-469,222%,,,
-389,-325,84%,,,
-245,-361,147%,,,
-191,-379,198%,,,
-200,-343,172%,,,
-200,-451,226%,,,
-23,-379,1648%,,,
-353,-424,120%,,,
-344,-361,105%,,,
-231,-352,152%,,,
-120,-352,293%,,,
-136,-388,285%,,,
-212,-415,196%,,,
-407,-487,120%,,,
-254,-388,153%,,,
-173,-415,240%,,,
-146,-415,284%,,,
-109,-397,364%,,,
-150,-397,265%,,,
-33,-424,1285%,,,
-129,-298,231%,,,
-190,-388,204%,,,
-158,-379,240%,,,
-107,-451,421%,,,
-209,-478,229%,,,
-174,-370,213%,,,
-542,-289,53%,,,
-236,-325,138%,,,
-515,-397,77%,,,
-200,-406,203%,,,
-32,-388,1213%,,,
-99,-388,392%,,,
-116,-433,373%,,,
-103,-415,403%,,,
-115,-361,314%,,,
-175,-469,268%,,,
-326,-370,113%,,,
-202,-460,228%,,,
-236,-406,172%,,,
-129,-375,291%,,,
-25,-316,1264%,,,
-132,-307,233%,,,
-133,-370,278%,,,
-363,-433,119%,,,
-130,-433,333%,,,
-218,-433,199%,,,
-145,-370,255%,,,
-218,-303,139%,,,
-91,-370,407%,,,
-270,-388,144%,,,
-245,-370,151%,,,
-69,-343,497%,,,
-461,-406,88%,,,
-160,-424,265%,,,
-112,-334,298%,,,
-208,-415,200%,,,
-163,-343,210%,,,
-434,-361,83%,,,
-227,-442,195%,,,
-124,-145,117%,,,
-173,-370,214%,,,
-272,-415,153%,,,
-198,-370,187%,,,
-79,-469,594%,,,
-49,-361,737%,,,
-279,-433,155%,,,
-127,-415,327%,,,
-47,-316,672%,,,
-142,-370,261%,,,
-146,-298,204%,,,
-226,-298,132%,,,
-189,-397,210%,,,
-251,-343,137%,,,
-376,-352,94%,,,
-158,-370,234%,,,
-38,-415,1092%,,,
-200,-424,212%,,,
-19,-370,1947%,,,
-85,-442,520%,,,
-97,-415,428%,,,
-86,-478,556%,,,
-108,-352,326%,,,
-95,-334,352%,,,
-227,-379,167%,,,
-108,-460,426%,,,
-151,-451,299%,,,
-111,-424,382%,,,
-209,-415,199%,,,
-479,-334,70%,,,
-72,-316,439%,,,
-362,-361,100%,,,
-311,-397,128%,,,
-184,-379,206%,,,
-42,-361,860%,,,
-175,-424,242%,,,
-128,-415,324%,,,
4,-352,-8800%,,,
-153,-352,230%,,,
-35,-424,1211%,,,
-488,-388,80%,,,
-25,-361,1444%,,,
-337,-415,123%,,,
-133,-433,326%,,,
-157,-442,282%,,,
-52,-397,763%,,,
-160,-361,226%,,,
-20,-469,2345%,,,
-110,-415,377%,,,
-28,-388,1386%,,,
-30,-370,1233%,,,
-11,-361,3282%,,,
-380,-496,131%,,,
-135,-397,294%,,,
-60,-343,572%,,,
-92,-406,441%,,,
-246,-406,165%,,,
-139,-424,305%,,,
-479,-388,81%,,,
14,-415,-2964%,,,
-218,-343,157%,,,
-75,-397,529%,,,
-172,-505,294%,,,
-281,-406,144%,,,
-326,-388,119%,,,
-98,-388,396%,,,
-250,-424,170%,,,
-131,-334,255%,,,
-12,-325,2708%,,,
-416,-442,106%,,,
-10,-388,3880%,,,
-163,-352,216%,,,
-88,-298,339%,,,
-39,-334,856%,,,
-73,-397,544%,,,
-9,-397,4411%,,,
-218,-397,182%,,,
-109,-343,315%,,,
-202,-406,201%,,,
-90,-460,511%,,,
-28,-397,1418%,,,
-56,-370,661%,,,
-161,-388,241%,,,
-149,-343,230%,,,
0,-406,#DIV/0!,,,
-193,-361,187%,,,
-258,-379,147%,,,
-249,-343,138%,,,
-153,-487,318%,,,
-140,-370,264%,,,
-17,-361,2124%,,,
-140,-442,316%,,,
13,-451,-3469%,,,
-92,-415,451%,,,
-11,-469,4264%,,,
-161,-460,286%,,,
-126,-406,322%,,,
-162,-424,262%,,,
-447,-334,75%,,,
-245,-406,166%,,,
-213,-424,199%,,,
-162,-325,201%,,,
-25,-379,1516%,,,
-99,-271,274%,,,
-506,-406,80%,,,
-156,-433,278%,,,
-49,-424,865%,,,
-94,-424,451%,,,
-39,-424,1087%,,,
-8,-334,4175%,,,
-168,-352,210%,,,
-111,-325,293%,,,
-32,-343,1072%,,,
-145,-343,237%,,,
-134,-361,269%,,,
-193,-334,173%,,,
-252,-325,129%,,,
-419,-334,80%,,,
-71,-406,572%,,,
4,-307,-7675%,,,
-29,-388,1338%,,,
-83,-379,457%,,,
-191,-442,231%,,,
-114,-361,317%,,,
8,-361,-4513%,,,
-16,-325,2031%,,,
-50,-343,686%,,,
-12,-334,2783%,,,
-104,-469,451%,,,
-6,-406,6767%,,,
-227,-397,175%,,,
-199,-415,209%,,,
-77,-424,551%,,,
-10,-433,4330%,,,
-66,-370,561%,,,
-168,-415,247%,,,
-6,-424,7067%,,,
-60,-334,557%,,,
-70,-388,554%,,,
-243,-370,152%,,,
-43,-442,1028%,,,
-105,-451,430%,,,
-2,-316,15800%,,,
-2,-397,19850%,,,
-119,-415,349%,,,
-71,-487,686%,,,
-209,-433,207%,,,
-19,-307,1616%,,,
